ID,Page,Author,Attributes,Item Tags,Title,Description,Country,City,Location,Activity,Shot,Scene,Object,Time of Day,Style,Length,Thumbnail,Resolution,File Size,Frame Rate,Alpha Channel,Looped,Video Encoding,Orientation
2401,https://elements.envato.com/example-vietnam-clip-1-DEMO001,DemoUploader,4K; travel; landscape,"vietnam, da nang, mỹ sơn sanctuary, travel",Mỹ Sơn Sanctuary visual 1,Demonstration metadata for Mỹ Sơn Sanctuary.,Vietnam,Da Nang,Mỹ Sơn Sanctuary,Walking,Wide,Coastal landscape,Vegetation,Daytime,Cinematic; travel; cultural,00:00:12,,1920 x 1080,120 MB,30,No,No,H.264,Landscape
2402,https://elements.envato.com/example-vietnam-clip-2-DEMO002,DemoUploader,4K; travel; landscape,"vietnam, da nang, mỹ sơn sanctuary, travel",Mỹ Sơn Sanctuary visual 2,Demonstration metadata for Mỹ Sơn Sanctuary.,Vietnam,Da Nang,Mỹ Sơn Sanctuary,Architecture,Medium,Ancient brick structures,Coastline,Golden hour,Cinematic; travel; cultural,00:00:12,,1920 x 1080,120 MB,30,No,No,H.264,Landscape
2403,https://elements.envato.com/example-vietnam-clip-3-DEMO003,DemoUploader,4K; travel; landscape,"vietnam, da nang, mỹ sơn sanctuary, travel",Mỹ Sơn Sanctuary visual 3,Demonstration metadata for Mỹ Sơn Sanctuary.,Vietnam,Da Nang,Mỹ Sơn Sanctuary,Landscape,Detail,Pathway and trees,Brick structures,Morning,Cinematic; travel; cultural,00:00:12,,1920 x 1080,120 MB,30,No,No,H.264,Landscape
2404,https://elements.envato.com/example-vietnam-clip-4-DEMO004,DemoUploader,4K; travel; landscape,"vietnam, da nang, mỹ sơn sanctuary, travel",Mỹ Sơn Sanctuary visual 4,Demonstration metadata for Mỹ Sơn Sanctuary.,Vietnam,Da Nang,Mỹ Sơn Sanctuary,Aerial viewing,Aerial Wide,Temple ruins surrounded by vegetation,Temple ruins,Daytime,Cinematic; travel; cultural,00:00:12,,1920 x 1080,120 MB,30,No,No,H.264,Landscape
2405,https://elements.envato.com/example-vietnam-clip-5-DEMO005,DemoUploader,4K; travel; landscape,"vietnam, da nang, mỹ sơn sanctuary, travel",Mỹ Sơn Sanctuary visual 5,Demonstration metadata for Mỹ Sơn Sanctuary.,Vietnam,Da Nang,Mỹ Sơn Sanctuary,Walking,Wide,Coastal landscape,Vegetation,Golden hour,Cinematic; travel; cultural,00:00:12,,3840 x 2160,120 MB,30,No,No,H.264,Landscape
2406,https://elements.envato.com/example-vietnam-clip-6-DEMO006,DemoUploader,4K; travel; landscape,"vietnam, da nang, mỹ sơn sanctuary, travel",Mỹ Sơn Sanctuary visual 6,Demonstration metadata for Mỹ Sơn Sanctuary.,Vietnam,Da Nang,Mỹ Sơn Sanctuary,Architecture,Medium,Ancient brick structures,Coastline,Morning,Cinematic; travel; cultural,00:00:12,,1920 x 1080,120 MB,30,No,No,H.264,Landscape
2407,https://elements.envato.com/example-vietnam-clip-7-DEMO007,DemoUploader,4K; travel; landscape,"vietnam, da nang, mỹ sơn sanctuary, travel",Mỹ Sơn Sanctuary visual 7,Demonstration metadata for Mỹ Sơn Sanctuary.,Vietnam,Da Nang,Mỹ Sơn Sanctuary,Landscape,Detail,Pathway and trees,Brick structures,Daytime,Cinematic; travel; cultural,00:00:12,,1920 x 1080,120 MB,30,No,No,H.264,Landscape
2408,https://elements.envato.com/example-vietnam-clip-8-DEMO008,DemoUploader,4K; travel; landscape,"vietnam, da nang, mỹ sơn sanctuary, travel",Mỹ Sơn Sanctuary visual 8,Demonstration metadata for Mỹ Sơn Sanctuary.,Vietnam,Da Nang,Mỹ Sơn Sanctuary,Aerial viewing,Aerial Wide,Temple ruins surrounded by vegetation,Temple ruins,Golden hour,Cinematic; travel; cultural,00:00:12,,1920 x 1080,120 MB,30,No,No,H.264,Landscape
2409,https://elements.envato.com/example-vietnam-clip-9-DEMO009,DemoUploader,4K; travel; landscape,"vietnam, da nang, da nang coast, travel",Da Nang Coast visual 9,Demonstration metadata for Da Nang Coast.,Vietnam,Da Nang,Da Nang Coast,Walking,Wide,Coastal landscape,Vegetation,Morning,Cinematic; travel; cultural,00:00:12,,1920 x 1080,120 MB,30,No,No,H.264,Landscape
2410,https://elements.envato.com/example-vietnam-clip-10-DEMO010,DemoUploader,4K; travel; landscape,"vietnam, da nang, da nang coast, travel",Da Nang Coast visual 10,Demonstration metadata for Da Nang Coast.,Vietnam,Da Nang,Da Nang Coast,Architecture,Medium,Ancient brick structures,Coastline,Daytime,Cinematic; travel; cultural,00:00:12,,3840 x 2160,120 MB,30,No,No,H.264,Landscape
2411,https://elements.envato.com/example-vietnam-clip-11-DEMO011,DemoUploader,4K; travel; landscape,"vietnam, da nang, da nang coast, travel",Da Nang Coast visual 11,Demonstration metadata for Da Nang Coast.,Vietnam,Da Nang,Da Nang Coast,Landscape,Detail,Pathway and trees,Brick structures,Golden hour,Cinematic; travel; cultural,00:00:12,,1920 x 1080,120 MB,30,No,No,H.264,Landscape
2412,https://elements.envato.com/example-vietnam-clip-12-DEMO012,DemoUploader,4K; travel; landscape,"vietnam, da nang, da nang coast, travel",Da Nang Coast visual 12,Demonstration metadata for Da Nang Coast.,Vietnam,Da Nang,Da Nang Coast,Aerial viewing,Aerial Wide,Temple ruins surrounded by vegetation,Temple ruins,Morning,Cinematic; travel; cultural,00:00:12,,1920 x 1080,120 MB,30,No,No,H.264,Landscape
